question,answer
Tôi thích làm thế nào rõ ràng bầu trời sau khi trời mưa.,Tôi cũng cảm thấy như vậy.Nó có mùi rất tốt sau khi trời mưa.
Tôi cũng cảm thấy như vậy.Nó có mùi rất tốt sau khi trời mưa.,Tôi đặc biệt yêu thích không khí ban đêm khi trời mưa.
Tôi đặc biệt yêu thích không khí ban đêm khi trời mưa.,Thực ra?Tại sao?
Thực ra?Tại sao?,Các ngôi sao trông gần hơn rất nhiều sau khi trời mưa.
Các ngôi sao trông gần hơn rất nhiều sau khi trời mưa.,Tôi thực sự muốn trời mưa hôm nay.
Tôi thực sự muốn trời mưa hôm nay.,Vâng tôi cũng vậy.
Bạn không nghĩ rằng nó tốt đẹp?,Vâng tôi cũng nghĩ vậy.
Vâng tôi cũng nghĩ vậy.,Tôi nghĩ rằng trời sẽ mưa.
Tôi nghĩ rằng trời sẽ mưa.,Tôi hy vọng rằng trời mưa.
Tôi hy vọng rằng trời mưa.,Bạn thích mưa?
Bạn thích mưa?,Bầu trời trông rất sạch sẽ sau khi trời mưa.tôi thích nó.
Bầu trời trông rất sạch sẽ sau khi trời mưa.tôi thích nó.,Tôi hiểu.Mưa làm cho nó có mùi sạch hơn.
Tôi hiểu.Mưa làm cho nó có mùi sạch hơn.,Tôi yêu hầu hết nó vào ban đêm sau khi trời mưa.
Tôi yêu hầu hết nó vào ban đêm sau khi trời mưa.,làm thế nào mà?
làm thế nào mà?,Bạn có thể thấy các ngôi sao rõ ràng hơn rất nhiều sau khi trời mưa.
Bạn có thể thấy các ngôi sao rõ ràng hơn rất nhiều sau khi trời mưa.,Tôi rất thích cho trời mưa hôm nay.
Tôi thực sự muốn đi đến bãi biển vào cuối tuần này.,Nghe có vẻ như thú vị. Thơi tiêt se như thê nao nhỉ?
Nghe có vẻ như thú vị. Thơi tiêt se như thê nao nhỉ?,Tôi nghe nói rằng nó sẽ ấm vào cuối tuần này.
Tôi nghe nói rằng nó sẽ ấm vào cuối tuần này.,Nó sẽ là thời tiết bãi biển hoàn hảo?
Nó sẽ là thời tiết bãi biển hoàn hảo?,tôi cũng tin là vậy.
tôi cũng tin là vậy.,Tốt.Tôi hy vọng nó không mát vào cuối tuần này.
Tốt.Tôi hy vọng nó không mát vào cuối tuần này.,Tôi biết.Tôi thực sự muốn đi đến bãi biển.
Tôi biết.Tôi thực sự muốn đi đến bãi biển.,Nhưng bạn biết rằng thời tiết California thực sự không thể đoán trước được.
Nhưng bạn biết rằng thời tiết California thực sự không thể đoán trước được.,bạn đúng.Một phút trời nóng và rồi phút tiếp theo trời lạnh.
bạn đúng.Một phút trời nóng và rồi phút tiếp theo trời lạnh.,Tôi thực sự ước thời tiết sẽ giữ nguyên.
Tôi thực sự ước thời tiết sẽ giữ nguyên tôi cũng làm như vậy,Bằng cách đó chúng ta có thể có các hoạt động của chúng ta được lên kế hoạch trước thời hạn.
tôi cũng làm như vậy.Bằng cách đó chúng ta có thể có các hoạt động của chúng ta được lên kế hoạch trước thời hạn.,Vâng điều đó sẽ làm cho mọi thứ dễ dàng hơn rất nhiều.
Tôi muốn có một chuyến đi đến bãi biển vào cuối tuần này.,Một chuyến đi đến bãi biển sẽ rất vui.Thời tiết sẽ như thế nào?
Một chuyến đi đến bãi biển sẽ rất vui.Thời tiết sẽ như thế nào?,Dự báo nói rằng nó sẽ ấm vào cuối tuần.
Dự báo nói rằng nó sẽ ấm vào cuối tuần.,Vì vậy bạn có nghĩ rằng nó sẽ là thời tiết hoàn hảo cho bãi biển?
Vì vậy bạn có nghĩ rằng nó sẽ là thời tiết hoàn hảo cho bãi biển?,Có vẻ như nó sẽ như vậy.
Có vẻ như nó sẽ như vậy.,Tôi thực sự hy vọng nó không bị lạnh.
Tôi thực sự hy vọng nó không bị lạnh.,Điều đó sẽ phá hỏng mọi thứ tôi muốn đi quá tệ.
Điều đó sẽ phá hỏng mọi thứ tôi muốn đi quá tệ.,Thời tiết ở California là không thể đoán trước vì vậy bạn không bao giờ biết.
Thời tiết ở California là không thể đoán trước vì vậy bạn không bao giờ biết.,điều đó đúng.Thời tiết liên tục thay đổi.
điều đó đúng.Thời tiết liên tục thay đổi.,Sẽ thật tuyệt nếu thời tiết sẽ không bao giờ thay đổi.
Sẽ thật tuyệt nếu thời tiết sẽ không bao giờ thay đổi.,Điều đó sẽ là tuyệt vời sau đó chúng ta có thể lên kế hoạch cho mọi thứ sớm hơn.
Điều đó sẽ là tuyệt vời sau đó chúng ta có thể lên kế hoạch cho mọi thứ sớm hơn.,ĐÚNG VẬY.Thời tiết có thể dự đoán sẽ làm cho cuộc sống dễ dàng hơn.
Thật tuyệt khi đi biển vào cuối tuần này.,Thơi tiêt se như thê nao nhỉ?Tôi cũng có thể muốn đi.
Thơi tiêt se như thê nao nhỉ?Tôi cũng có thể muốn đi.,Thời tiết cuối tuần này được cho là ấm áp.
Thời tiết cuối tuần này được cho là ấm áp.,Nó sẽ là thời tiết bãi biển tốt?
Nó sẽ là thời tiết bãi biển tốt?,tôi nghĩ nó sẽ.
tôi nghĩ nó sẽ.,Sẽ không tốt nếu cuối tuần này bị lạnh.
Sẽ không tốt nếu cuối tuần này bị lạnh.,Tôi muốn chuyến đi này trở nên hoàn hảo tôi hy vọng nó sẽ ấm áp.
Tôi muốn chuyến đi này trở nên hoàn hảo tôi hy vọng nó sẽ ấm áp.,Thời tiết California này không chắc chắn không thể biết điều gì sẽ xảy ra.
Thời tiết California này không chắc chắn không thể biết điều gì sẽ xảy ra.,Tôi biết.Mỗi ngày thời tiết có vẻ khác nhau.
Tôi biết.Mỗi ngày thời tiết có vẻ khác nhau.,Tôi sẽ thích nó nếu nó không phải lúc nào cũng không thể đoán trước được.
Tôi sẽ thích nó nếu nó không phải lúc nào cũng không thể đoán trước được.,Điều đó sẽ giúp chúng tôi dễ dàng lập kế hoạch.
Xin chào tôi có thể nói chuyện với Alice được không?,Đây là cô ấy.thế nào rồi?
Đây là cô ấy.thế nào rồi?,Tôi đã cố gắng gọi cho bạn cả ngày.
Tôi đã cố gắng gọi cho bạn cả ngày.,xin lỗi vì điều đó.Tôi đã dọn dẹp.
xin lỗi vì điều đó.Tôi đã dọn dẹp.,Không sao đâu.
Không sao đâu.,Vậy bạn đã gọi tôi là gì?
Vậy bạn đã gọi tôi là gì?,Ồ tôi chỉ muốn xem bạn có muốn đi chơi vào ngày mai không.
Ồ tôi chỉ muốn xem bạn có muốn đi chơi vào ngày mai không.,Chắc chắn bạn muốn làm gì?
Chắc chắn bạn muốn làm gì?,Có lẽ chúng ta có thể đi xem một bộ phim hoặc một cái gì đó.
Có lẽ chúng ta có thể đi xem một bộ phim hoặc một cái gì đó.,Nghe có vẻ như thú vị. hãy làm nó.
Nghe có vẻ như thú vị. hãy làm nó.,Hẹn gặp lại vào ngày mai.
Hẹn gặp lại vào ngày mai.,gặp bạn sau.tạm biệt.
chào! Bạn khỏe không.Alice có ở đó không?,nói. Có chuyện gì vậy?
nói. Có chuyện gì vậy?,Tại sao bạn chưa trả lời điện thoại?
Tại sao bạn chưa trả lời điện thoại?,Tôi xấu tôi đã có việc làm.
Tôi xấu tôi đã có việc làm.,không sao đâu.
không sao đâu.,Lý do cho cuộc gọi của bạn là gì?
Lý do cho cuộc gọi của bạn là gì?,Tôi muốn làm điều gì đó vào ngày mai với bạn.
Tôi muốn làm điều gì đó vào ngày mai với bạn.,Nghe có vẻ tốt.Bạn đã nghĩ gì vậy?
Nghe có vẻ tốt.Bạn đã nghĩ gì vậy?,Tôi đã suy nghĩ về việc xem một bộ phim.
Tôi đã suy nghĩ về việc xem một bộ phim.,Được rồi hãy đi xem phim.
Được rồi hãy đi xem phim.,Cho đến lúc đó.
Cho đến lúc đó.,nói chuyện với bạn sau.
Alice có sẵn không?,Bạn đang nói chuyện với cô ấy.
Bạn đang nói chuyện với cô ấy.,Tôi đã gọi cho bạn một trăm lần ngày hôm nay.
Tôi đã gọi cho bạn một trăm lần ngày hôm nay.,Tôi đang bận làm gì đó.tôi xin lỗi.
Tôi đang bận làm gì đó.tôi xin lỗi.,Không vấn đề.
Không vấn đề.,Bạn có cần một cái gì đó?
Bạn có cần một cái gì đó?,Bạn có muốn làm điều gì đó vào ngày mai không?
Bạn có muốn làm điều gì đó vào ngày mai không?,Có một nơi nào đó đặc biệt bạn muốn đi?
Có một nơi nào đó đặc biệt bạn muốn đi?,bộ phim như thế nào?
bộ phim như thế nào?,Một bộ phim nghe hay.
Một bộ phim nghe hay.,Gọi cho tôi vào ngày mai.
Bạn đã thấy cô gái mới ở trường chưa?,Không tôi chưa.
Không tôi chưa.,Cô ấy thực sự xinh đẹp.
Cô ấy thực sự xinh đẹp.,Mô tả cô ấy cho tôi.
Mô tả cô ấy cho tôi.,Cô ấy không quá cao.
Cô ấy không quá cao.,Chà cô ấy cao bao nhiêu?
Chà cô ấy cao bao nhiêu?,Cô ấy thậm chí khoảng năm feet.
Cô ấy thậm chí khoảng năm feet.,Cô ấy trông như thế nào mặc dù?
Cô ấy trông như thế nào mặc dù?,Cô ấy có đôi mắt màu nâu nhạt.
Cô ấy có đôi mắt màu nâu nhạt.,Tôi có thể biết bạn đang nói về cô gái nào.
Tôi có thể biết bạn đang nói về cô gái nào.,Vì vậy bạn đã nhìn thấy cô ấy xung quanh?
Vì vậy bạn đã nhìn thấy cô ấy xung quanh?,Vâng tôi có.
Có một cô gái mới ở trường bạn đã thấy cô ấy chưa?,Tôi chưa nhìn thấy cô ấy.
Tôi chưa nhìn thấy cô ấy.,Tôi nghĩ rằng cô ấy rất xinh đẹp.
Tôi nghĩ rằng cô ấy rất xinh đẹp.,Nói cho tôi biết cô ấy trông như thế nào.
Nói cho tôi biết cô ấy trông như thế nào.,Cô ấy rất ngắn.
Cô ấy rất ngắn.,Cô ấy có chiều cao bao nhiêu?
Cô ấy có chiều cao bao nhiêu?,Cô ấy có lẽ khoảng năm feet.
Cô ấy có lẽ khoảng năm feet.,Thật tuyệt nhưng hãy cho tôi biết cô ấy trông như thế nào.
Thật tuyệt nhưng hãy cho tôi biết cô ấy trông như thế nào.,Điều đầu tiên tôi nhận thấy là đôi mắt nâu xinh đẹp của cô ấy.
Điều đầu tiên tôi nhận thấy là đôi mắt nâu xinh đẹp của cô ấy.,Tôi nghĩ rằng tôi có thể đã va vào cô ấy trước đây.
Tôi nghĩ rằng tôi có thể đã va vào cô ấy trước đây.,Bạn đang nói với tôi rằng bạn đã nhìn thấy cô ấy trước đây?
Bạn đang nói với tôi rằng bạn đã nhìn thấy cô ấy trước đây?,tôi cũng tin là vậy.
Bạn đã gặp cô gái mới chưa?,KHÔNG.Có bạn?
KHÔNG.Có bạn?,Cô ấy là một trong những cô gái xinh đẹp nhất ở trường.
Cô ấy là một trong những cô gái xinh đẹp nhất ở trường.,Cô ấy trông như thế nào?
Cô ấy trông như thế nào?,Chà cô ấy khá ngắn.
Chà cô ấy khá ngắn.,Bạn sẽ nói cao bao nhiêu?
Bạn sẽ nói cao bao nhiêu?,Tôi sẽ nói cô ấy chỉ năm feet.
Tôi sẽ nói cô ấy chỉ năm feet.,Còn các đặc điểm khuôn mặt của cô ấy thì sao?
Còn các đặc điểm khuôn mặt của cô ấy thì sao?,Cô ấy có đôi mắt nâu nhạt hoàn toàn đẹp.
Cô ấy có đôi mắt nâu nhạt hoàn toàn đẹp.,Tôi nghĩ rằng tôi biết bạn đang nói về ai.
Tôi nghĩ rằng tôi biết bạn đang nói về ai.,Bạn đã thấy cô ấy?
Tại sao bạn không ở trường ngày hôm qua?,Tôi không thực sự cảm thấy tốt.
Tôi không thực sự cảm thấy tốt.,bạn bị gì vậy?
bạn bị gì vậy?,Bụng tôi buồn bã.
Bụng tôi buồn bã.,Bây giờ bạn có cảm thấy tốt hơn không?
Bây giờ bạn có cảm thấy tốt hơn không?,Tôi chưa thực sự cảm thấy quá tốt.
Tôi chưa thực sự cảm thấy quá tốt.,Bạn có muốn bất cứ điều gì để làm cho bạn cảm thấy tốt hơn?
Bạn có muốn bất cứ điều gì để làm cho bạn cảm thấy tốt hơn?,không cám ơn.Tôi đã uống một số thuốc.
không cám ơn.Tôi đã uống một số thuốc.,Tôi hy vọng bạn cảm thấy tốt hơn.
Tôi hy vọng bạn cảm thấy tốt hơn.,Cảm ơn.
Bạn có lý do gì cho trường học mất tích?,tôi đa bị ôm.
tôi đa bị ôm.,Bạn bị ốm như thế nào?
Bạn bị ốm như thế nào?,tôi đã bị đau bụng.
tôi đã bị đau bụng.,Nó có trở nên tốt hơn không?
Nó có trở nên tốt hơn không?,Tôi vẫn cảm thấy dưới thời tiết.
Tôi vẫn cảm thấy dưới thời tiết.,Bạn có muốn bất cứ thứ gì cho dạ dày của bạn?
Bạn có muốn bất cứ thứ gì cho dạ dày của bạn?,Tôi đã lấy một cái gì đó sớm hơn.
Tôi đã lấy một cái gì đó sớm hơn.,cảm thấy tốt hơn.
cảm thấy tốt hơn.,cảm ơn rất nhiều.
Tại sao bạn không đi học ngày hôm qua?,Tôi ở nhà vì tôi cảm thấy không khỏe.
Tôi ở nhà vì tôi cảm thấy không khỏe.,Vấn đề của bạn là gì?
Vấn đề của bạn là gì?,Bụng tôi làm phiền tôi.
Bụng tôi làm phiền tôi.,bạn cảm thấy đỡ hơn chưa?
bạn cảm thấy đỡ hơn chưa?,Tôi vẫn cảm thấy hơi ốm.
Tôi vẫn cảm thấy hơi ốm.,Tôi sẽ đến cửa hàng bạn có muốn Pepto Bismol không?
Tôi sẽ đến cửa hàng bạn có muốn Pepto Bismol không?,Không sao đâu.
Không sao đâu.,Tôi hy vọng bạn cảm thấy tốt hơn.
Bạn có nghe thấy tin tốt không?,Không tôi chưa.
Không tôi chưa.,Tôi đã nhận được một chương trình khuyến mãi trong công việc của mình.
Tôi đã nhận được một chương trình khuyến mãi trong công việc của mình.,Bạn đã thực sự?
Bạn đã thực sự?,Nghiêm túc mà nói tôi rất phấn khích.
Nghiêm túc mà nói tôi rất phấn khích.,Vâng xin chúc mừng.
Vâng xin chúc mừng.,Cảm ơn.
Cảm ơn.,tôi rất hạnh phúc cho bạn.
tôi rất hạnh phúc cho bạn.,Thực ra?
Thực ra?,Đúng.Bạn thực sự xứng đáng với điều này.
Đúng.Bạn thực sự xứng đáng với điều này.,bạn nghĩ vậy?
bạn nghĩ vậy?,Đúng.tốt cho bạn.
Bạn đã nghe tin tốt của tôi?,Bạn chưa nói với tôi bất cứ điều gì.
Bạn chưa nói với tôi bất cứ điều gì.,Tôi đã có một chương trình khuyến mãi tại nơi làm việc vào đầu tuần này.
Tôi đã có một chương trình khuyến mãi tại nơi làm việc vào đầu tuần này.,Có đúng không?
Có đúng không?,đó là sự thật.Tôi thực sự hạnh phúc.
đó là sự thật.Tôi thực sự hạnh phúc.,Xin chúc mừng về việc thăng chức của bạn.
Xin chúc mừng về việc thăng chức của bạn.,Cảm ơn rất nhiều.
Cảm ơn rất nhiều.,Tôi thực sự hào hứng cho bạn.
Tôi thực sự hào hứng cho bạn.,Bạn có thực sự không?
Bạn có thực sự không?,Tôi nghiêm túc.Bạn xứng đáng được khuyến mãi này.
Tôi nghiêm túc.Bạn xứng đáng được khuyến mãi này.,Đó có phải là những gì bạn thực sự nghĩ?
Đó có phải là những gì bạn thực sự nghĩ?,em đồng ý.
Tôi chưa nói với bạn những gì đã xảy ra phải không?,Tôi chưa nghe thấy gì.
Tôi chưa nghe thấy gì.,Ông chủ của tôi đề nghị cho tôi một chương trình khuyến mãi và tôi đã lấy nó.
Ông chủ của tôi đề nghị cho tôi một chương trình khuyến mãi và tôi đã lấy nó.,bạn nghiêm túc chứ?
bạn nghiêm túc chứ?,Vâng tôi thực sự phấn khích.
Vâng tôi thực sự phấn khích.,thật tuyệt.Chúc mừng.
thật tuyệt.Chúc mừng.,tôi trân trọng điều đó.
tôi trân trọng điều đó.,Bạn không biết tôi hạnh phúc như thế nào đối với bạn.
Bạn không biết tôi hạnh phúc như thế nào đối với bạn.,cho thật?
Hôm nay bạn trông thực sự tốt đẹp.,Cảm ơn.Tôi chỉ có trang phục này vào một ngày khác.
Cảm ơn.Tôi chỉ có trang phục này vào một ngày khác.,Thực sự bạn đã lấy nó ở đâu?
Thực sự bạn đã lấy nó ở đâu?,Tôi đã nhận được nó từ Macy's.
Tôi đã nhận được nó từ Macy's.,Nó thực sự tốt đẹp.
Nó thực sự tốt đẹp.,Cảm ơn một lần nữa.Hôm nay bạn trông cũng đẹp.
Cảm ơn một lần nữa.Hôm nay bạn trông cũng đẹp.,Cảm ơn.Tôi vừa có những đôi giày hôm nay.
Cảm ơn.Tôi vừa có những đôi giày hôm nay.,Thực ra?Chúng là loại giày nào?
Thực ra?Chúng là loại giày nào?,Chúng được gọi là All Star Chuck Taylors.
Chúng được gọi là All Star Chuck Taylors.,Tôi thực sự thích những điều đó.giá của chúng là bao nhiêu?
Tôi thực sự thích những điều đó.giá của chúng là bao nhiêu?,Họ là khoảng bốn mươi đô la.
Họ là khoảng bốn mươi đô la.,Tôi nghĩ rằng tôi sẽ đi mua cho mình một cặp.
Tôi hoàn toàn thích những gì bạn đang mặc ngày hôm nay.,bạn làm?Tôi vừa mua trang phục này một vài ngày trước.
bạn làm?Tôi vừa mua trang phục này một vài ngày trước.,Nghiêm túc mà nói nó trông thực sự tốt đẹp với bạn.Bạn đã mua nó từ đâu?
Nghiêm túc mà nói nó trông thực sự tốt đẹp với bạn.Bạn đã mua nó từ đâu?,Tôi đã mua nó từ Macy's tại Trung tâm thương mại Santa Anita.
Tôi đã mua nó từ Macy's tại Trung tâm thương mại Santa Anita.,Tôi thực sự thích trang phục đó.
Tôi thực sự thích trang phục đó.,Cảm ơn.Tôi nghĩ rằng hôm nay bạn trông đẹp.
Cảm ơn.Tôi nghĩ rằng hôm nay bạn trông đẹp.,Cảm ơn.Tôi vừa mua những đôi giày mới này sớm hơn ngày hôm nay.
Cảm ơn.Tôi vừa mua những đôi giày mới này sớm hơn ngày hôm nay.,Đó là những điều tốt đẹp.họ là ai?
Đó là những điều tốt đẹp.họ là ai?,Đây là một số chucks.
Đây là một số chucks.,Đó là những điều tuyệt vời.Họ là bao nhiêu?
Đó là những điều tuyệt vời.Họ là bao nhiêu?,Tôi đã nhận được chúng trong bốn mươi.
Tôi đã nhận được chúng trong bốn mươi.,Tôi nghĩ rằng tôi có thể đi và tìm cho tôi cặp chucks của riêng tôi.
Tôi nghĩ rằng hôm nay bạn trông rất dễ thương.,Có đúng không?Đây là một bộ trang phục hoàn toàn mới.
Có đúng không?Đây là một bộ trang phục hoàn toàn mới.,Bạn lấy nó từ cửa hàng nào?
Bạn lấy nó từ cửa hàng nào?,Tôi đã đến Macy's và chọn nó ra.
Tôi đã đến Macy's và chọn nó ra.,Tôi yêu trang phục của bạn ngay bây giờ.
Tôi yêu trang phục của bạn ngay bây giờ.,Chà tôi nghĩ hôm nay bạn trông cũng đẹp.
Chà tôi nghĩ hôm nay bạn trông cũng đẹp.,Cảm ơn.Tôi tìm thấy những đôi giày mới sớm hơn tại cửa hàng.
Cảm ơn.Tôi tìm thấy những đôi giày mới sớm hơn tại cửa hàng.,Tôi nghĩ rằng đó là một số đôi giày thực sự đẹp.Họ là loại nào?
Tôi nghĩ rằng đó là một số đôi giày thực sự đẹp.Họ là loại nào?,Đây là những con chucks.
Đây là những con chucks.,Đôi giày của bạn trông rất đẹp.Bạn đã nhận được chúng với giá bao nhiêu?
